What is the capital of France?, Paris, Lyon, Tokyo, Potsdam
How many days are in a week?, 7, 14, 21, 28
What is the capital of Germany?, Berlin, Hamburg, Munich, Frankfurt
What is the capital of Italy?, Rome, Milan, Naples, Turin
What is the capital of Spain?, Madrid, Barcelona, Valencia, Seville
What is the capital of Portugal?, Lisbon, Porto, Braga, Faro
What is the capital of Greece?, Athens, Thessaloniki, Patras, Heraklion
What is the capital of Turkey?, Ankara, Istanbul, Izmir, Bursa
What is the capital of Russia?, Moscow, Saint Petersburg, Novosibirsk, Yekaterinburg
What is the capital of China?, Beijing, Shanghai, Guangzhou, Shenzhen
What is the capital of Japan?, Tokyo, Osaka, Nagoya, Sapporo